date,As
2013-6-19,0.00163333
2013-6-20,0.00226667
2013-6-21,0.0022
2013-6-22,0.00218333
2013-6-23,0.0021
2013-6-24,0.00205
2013-6-25,0.00205
2013-6-26,0.00223333
2013-6-27,0.00218333
2013-6-28,0
2013-6-29,0
2013-6-30,0.0007125
2013-7-1,0
2013-7-2,0.0014
2013-7-3,0.00145
2013-7-4,0.00118333
2013-7-5,0.00123333
2013-7-6,0.00131667
2013-7-7,0.00115
2013-7-8,0.00111667
2013-7-9,0.00108333
2013-7-10,0.00218333
2013-7-11,0.00121667
2013-7-12,0.00176667
2013-7-13,0.00198333
2013-7-14,0.00226667
2013-7-15,0.00266
2013-7-16,0.00251667
2013-7-17,0.00245
2013-7-18,0.00278333
2013-7-19,0.00286
2013-7-20,0.00275
2013-7-21,0.00265
2013-7-22,0.00306667
2013-7-23,0.0033
2013-7-24,0.0029
2013-7-25,0.00281667
2013-7-26,0.00046667
2013-7-27,0
2013-7-28,0
2013-7-29,0
2013-7-30,0
2013-7-31,0
2013-8-1,0
2013-8-2,0
2013-8-3,0.0014
2013-8-4,0.00175
2013-8-5,0
2013-8-6,0
2013-8-7,0
2013-8-8,0
2013-8-9,0.00158571
2013-8-10,0.00225
2013-8-11,0.00238333
2013-8-12,0.0022
2013-9-3,0.00256
2013-9-4,0.00255
2013-9-5,0.00246667
2013-9-6,0.00238
2013-9-7,0.00163333
2013-9-8,0.0025
2013-9-9,0.00255
2013-9-10,0.00251667
2013-9-11,0.00251667
2013-9-12,0.00244286
2013-9-13,0.00261667
2013-9-14,0.00255
2013-9-15,0.0022
2013-9-16,0.00201667
2013-9-17,0.002
2013-9-18,0.00193333
2013-9-19,0.00195
2013-9-20,0.00191667
2013-9-21,0.00195
2013-9-22,0.00198333
2013-9-23,0.00186667
2013-9-24,0.00065
2013-9-25,0
2013-9-26,0.0017
2013-9-27,0.00425556
2013-9-28,0.00105
2013-10-7,0.00016667
2013-10-8,0.00045
2013-10-9,0
2013-10-10,0.00028333
2013-10-11,0.00045
2013-10-12,0.00028333
2013-10-13,0.00031667
2013-10-14,0.00005
2013-10-15,0.00006667
2013-10-16,0.00245
2013-10-17,0.00403333
2013-10-18,0.0039
2013-10-19,0.00348333
2013-10-20,0.00351667
2013-10-21,0.00348333
2013-10-22,0.00333333
2013-10-23,0.0012
2013-10-24,0
2013-10-25,0.0034
2013-10-26,0.00385
2013-10-27,0.00383333
2013-10-28,0.0036
2013-10-29,0.00375
2013-10-30,0.00351667
2013-10-31,0.00351667
2013-11-1,0.00345
2013-11-9,0.00085
2013-11-10,0.17231667
2013-11-11,0.18556667
2013-11-12,0.1788
2013-11-13,0.1946
2013-11-14,0.16335
2013-11-15,0.17305
2013-11-16,0.28935
2013-11-17,0.2785
2013-11-18,0.06543
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0.00072
2013-11-23,0.00142
2013-11-24,0.00136667
2013-11-25,0.00141667
2013-11-26,0.00141667
2013-11-27,0.0014
2013-11-28,0.00016667
2013-11-29,0.00541429
2013-11-30,0.00135
2013-12-1,0.00133333
2013-12-2,0.00133333
2013-12-3,0.00136
2013-12-4,0.0165
2013-12-5,0.00143333
2013-12-6,0.00132
2013-12-7,0.00135
2013-12-8,0.00131667
2013-12-9,0.00133333
2013-12-18,0.05578571
2013-12-19,0.0025
2013-12-20,0.00258333
2013-12-21,0.00258
2013-12-22,0.0026
2013-12-23,0.00266667
2013-12-24,0.00258333
2013-12-25,0.00111429
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-1-1,0
2014-1-2,0.31168333
2014-1-3,0
2014-1-4,0
2014-1-5,0
2014-1-6,0.3206
2014-1-7,0.367375
2014-1-8,0.39115
2014-1-9,0.36423333
2014-1-10,0.36716667
2014-1-11,0.37225
2014-1-12,0.37106
2014-1-13,0.3574
2014-1-14,0.36495
2014-1-15,0.2794
2014-1-16,0
2014-1-17,0
2014-1-18,0
2014-1-20,0.0036
2014-1-21,0.00323333
2014-1-22,0.00353333
2014-1-23,0.00321667
2014-1-24,0.00315
2014-1-25,0.00338333
2014-1-26,0.0032
2014-1-27,0.00286667
2014-1-28,0.00326
2014-1-29,0.00343333
2014-1-30,0.00331667
2014-1-31,0.00333333
2014-2-1,0.00315
2014-2-2,0.00313333
2014-2-3,0.00293333
2014-2-4,0.00276667
2014-2-5,0.00253333
2014-2-6,0.00253333
2014-2-7,0.0012
2014-2-8,0
2014-2-9,0
2014-2-10,0.00327143
2014-2-11,0.00451667
2014-2-12,0.00418333
2014-2-13,0.00421667
2014-2-14,0.00431667
2014-2-15,0.00426667
2014-2-16,0.00406667
2014-2-17,0.00415
2014-2-18,0.00376667
2014-2-19,0.00405
2014-2-20,0.00388333
2014-2-21,0.00388333
2014-2-22,0.0036
2014-2-23,0.00326667
2014-2-24,0.00363333
2014-2-25,0.00596667
2014-2-26,0.0061
2014-2-27,0.00573333
2014-2-28,0.0058
2014-3-1,0.00501667
2014-3-2,0.00523333
2014-3-3,0.00458333
2014-3-4,0.00526667
2014-3-5,0.0046
2014-3-6,0.0057
2014-3-7,0.00646667
2014-3-8,0.00611667
2014-3-9,0.00526667
2014-3-10,0.00593333
2014-3-11,0.00513333
2014-3-12,0.00565
2014-3-13,0.00608333
2014-3-14,0.00535
2014-3-15,0.00486667
2014-3-16,0.00465
2014-3-17,0.00475
